,timestamp,dataset,channel,window,sensor_height_m,reference_height_m,wind_profile_alpha,wind_mean_roof_m_s,wind_median_roof_m_s,wind_max_raw_roof_m_s,wind_std_roof_m_s,wind_3s_gust_roof_m_s,wind_mean_10m_m_s,wind_median_10m_m_s,wind_max_raw_10m_m_s,wind_std_10m_m_s,wind_3s_gust_10m_m_s,wind_mean_roof_mph,wind_3s_gust_roof_mph,wind_max_raw_roof_mph,wind_mean_10m_mph,wind_3s_gust_10m_mph,wind_max_raw_10m_mph,n_samples
19,12/27/2025 9:00,27.12.2025,31S4S,30min,118,10,0.14,1.437430901,1.4711555,3.118469,0.579083583,2.906232897,1.017474411,1.041346109,2.207384304,0.409899862,2.05715461,3.21544135,6.50105784,6.975816482,2.276025437,4.601723806,4.937778061,180000
20,12/27/2025 9:30,27.12.2025,31S4S,30min,118,10,0.14,1.276380795,1.270622,3.188617,0.675983835,2.884369207,0.903476332,0.899400013,2.257038027,0.47848996,2.041678566,2.855182523,6.452150158,7.132733089,2.021018996,4.56710488,5.048850275,180000
21,12/27/2025 10:00,27.12.2025,31S4S,30min,118,10,0.14,0.991408247,0.9415579,3.153404,0.525516362,2.430070833,0.701760705,0.66647452,2.232112775,0.371982716,1.720106955,2.217717088,5.435913639,7.053963851,1.569793989,3.847769674,4.993094075,180000
22,12/27/2025 10:30,27.12.2025,31S4S,30min,118,10,0.14,0.765661384,0.7281187,2.391695,0.431028028,1.97790733,0.541967523,0.515393223,1.692942916,0.305099876,1.400046496,1.712735737,4.424452689,5.350069345,1.212346822,3.131814817,3.78700545,180000
23,12/27/2025 11:00,27.12.2025,31S4S,30min,118,10,0.14,0.62485165,0.5383589,2.28791,0.426868796,1.762325903,0.442296436,0.381073208,1.619479502,0.302155795,1.24744884,1.397753334,3.942210772,5.117908912,0.98938895,2.790463584,3.622672473,180000
24,12/27/2025 11:30,27.12.2025,31S4S,30min,118,10,0.14,0.720858659,0.6622818,2.215592,0.416149476,1.840760303,0.510254259,0.46879108,1.568289762,0.294568207,1.302968027,1.612514896,4.117663527,4.956138153,1.141406271,2.914656468,3.508164285,180000
25,12/27/2025 12:00,27.12.2025,31S4S,30min,118,10,0.14,0.918024416,0.8790495,2.540558,0.483642791,2.112635437,0.649816524,0.62222843,1.798314446,0.342342831,1.49541275,2.053562133,4.72583088,5.683066392,1.453598166,3.345143052,4.02271485,180000
26,12/27/2025 12:30,27.12.2025,31S4S,30min,118,10,0.14,0.624033877,0.5813972,2.030514,0.377748708,1.707532967,0.441717582,0.411537538,1.437283723,0.267386519,1.208664082,1.395924027,3.819642463,4.542130458,0.98809409,2.703704549,3.215112121,180000
27,12/27/2025 13:00,27.12.2025,31S4S,30min,118,10,0.14,0.585522395,0.5676197,1.903995,0.348659794,1.628687567,0.414457526,0.40178524,1.347728221,0.246796154,1.152853971,1.309776296,3.643270326,4.259115515,0.92711508,2.578860888,3.01478217,180000
28,12/27/2025 13:30,27.12.2025,31S4S,30min,118,10,0.14,0.506104555,0.4697869,1.695461,0.319842826,1.412827747,0.358242218,0.332535045,1.200119033,0.226398285,1.000059258,1.132123648,3.160405661,3.792638243,0.801365019,2.237068847,2.684589819,180000
