wind_bin_mph,n_windows,wind_mean_mph,wind_mean_m_s,damping_median_percent,damping_mean_percent,damping_p25_percent,damping_p75_percent
"[0, 5)",336,2.3644147904729413,1.0569879879330248,0.9839081692399978,1.109095234693461,0.7535973972790184,1.3213279128966944
"[5, 10)",435,7.037366223802806,3.14598419668881,1.512128885262682,1.6841153842801135,1.1675157766551827,2.004989695247383
"[10, 15)",120,11.883343167671034,5.312329729675665,2.6175700935789177,2.6221942805659952,2.0523989543713315,3.1764365535572656
"[15, 20)",24,17.23052817479973,7.70273531526248,2.8082607764897842,3.514382984077351,2.4932666401730885,3.373803188702579
"[20, 25)",3,23.8102294421335,10.644124969811372,4.0433386733725545,4.129334948049878,3.8617409357349732,4.35393082302612
"[25, 30)",3,27.280318912941905,12.195393766841562,5.300077593877661,5.232498549571502,4.871702671189252,5.627083950106831
"[30, 35)",15,32.518882573298605,14.537241265567426,4.613892190084036,4.469607506840793,3.287419165976707,5.286722923813202
"[35, 45)",6,36.621957810806926,16.371480019743142,5.088765233059575,6.163629654185221,4.6344824090120635,7.407439292584584
