dataset,channel,wind_bin_mph,n_windows,wind_mean_mph,wind_mean_m_s,damping_median_percent,damping_mean_percent,damping_p25_percent,damping_p75_percent
2023-03-01,25S2X,"[0, 5)",60,2.823287958330069,1.2621226488918755,1.3984632551126468,1.4965847767263962,1.1134267194817662,1.715875699237527
2023-03-01,25S2X,"[5, 10)",82,7.147297566110286,3.1951279039539453,1.329587603465781,1.467447221945764,1.1571710092394867,1.7306451195372892
2023-03-01,25S2X,"[10, 15)",10,12.16014962822667,5.436073289802456,2.0065073789464,2.0550076806297275,1.6030450825025353,2.2560755308749005
2023-03-01,25S2X,"[15, 20)",8,17.23052817479973,7.70273531526248,2.769707778289801,3.5225140749205788,2.554913785532288,3.4476420547459043
2023-03-01,25S2X,"[20, 25)",1,23.8102294421335,10.644124969811372,4.0433386733725545,4.0433386733725545,4.0433386733725545,4.0433386733725545
2023-03-01,25S2X,"[25, 30)",1,27.280318912941905,12.195393766841562,4.443327748500843,4.443327748500843,4.443327748500843,4.443327748500843
2023-03-01,25S2X,"[30, 35)",5,32.518882573298605,14.537241265567426,4.613892190084036,4.228400449909212,3.0638351270470268,5.123368408239721
2023-03-01,25S2X,"[35, 45)",2,36.62195781080692,16.371480019743146,7.07043100611818,7.07043100611818,5.713501801497795,8.427360210738565
2023-03-01,25S2Y,"[0, 5)",60,2.823287958330069,1.2621226488918755,1.1077255475081025,1.184662435795348,0.834957968817879,1.304177365799953
2023-03-01,25S2Y,"[5, 10)",82,7.147297566110286,3.1951279039539453,1.1308950348439208,1.205212117393149,0.8772674040074839,1.4105532474903042
2023-03-01,25S2Y,"[10, 15)",10,12.16014962822667,5.436073289802456,1.850872195315404,1.8792027163299245,1.361410548255521,2.284467649279118
2023-03-01,25S2Y,"[15, 20)",8,17.23052817479973,7.70273531526248,2.688818488672843,3.4100552485180025,2.2861173530255443,3.3736952957557182
2023-03-01,25S2Y,"[20, 25)",1,23.8102294421335,10.644124969811372,3.680143198097392,3.680143198097392,3.680143198097392,3.680143198097392
2023-03-01,25S2Y,"[25, 30)",1,27.280318912941905,12.195393766841562,5.300077593877661,5.300077593877661,5.300077593877661,5.300077593877661
2023-03-01,25S2Y,"[30, 35)",5,32.518882573298605,14.537241265567426,4.524878172220911,4.735889516032745,4.42662108876757,4.641446932195708
2023-03-01,25S2Y,"[35, 45)",2,36.62195781080692,16.371480019743146,5.088765233059575,5.088765233059575,4.916737514789391,5.260792951329758
2023-03-01,25S3X,"[0, 5)",60,2.823287958330069,1.2621226488918755,1.361890776968724,1.4722874214792379,1.1189806874470538,1.6529222192164874
2023-03-01,25S3X,"[5, 10)",82,7.147297566110286,3.1951279039539453,1.367806675109224,1.4921449977659418,1.129263231707463,1.7536894766378304
2023-03-01,25S3X,"[10, 15)",10,12.16014962822667,5.436073289802456,1.9981765702505396,2.035286577642559,1.5850757363480894,2.3374017890021728
2023-03-01,25S3X,"[15, 20)",8,17.23052817479973,7.70273531526248,2.823387524512554,3.610579628793472,2.529735749781112,3.3136337961005307
2023-03-01,25S3X,"[20, 25)",1,23.8102294421335,10.644124969811372,4.664522972679687,4.664522972679687,4.664522972679687,4.664522972679687
2023-03-01,25S3X,"[25, 30)",1,27.280318912941905,12.195393766841562,5.954090306336001,5.954090306336001,5.954090306336001,5.954090306336001
2023-03-01,25S3X,"[30, 35)",5,32.518882573298605,14.537241265567426,4.690439445919451,4.444532554580425,3.3409657706384293,5.450077439386683
2023-03-01,25S3X,"[35, 45)",2,36.62195781080692,16.371480019743146,6.331692723377907,6.331692723377907,5.464716334943795,7.198669111812019
2025-12-27,25S2X,"[0, 5)",52,1.8349457506377935,0.8202941483651203,0.7628118300857701,0.8012530661167202,0.6662143589369279,0.8949242226411614
2025-12-27,25S2X,"[5, 10)",63,6.894280984608945,3.0820193713595865,2.0244960861551022,2.291165722849728,1.6927070885519495,2.8865260973620313
2025-12-27,25S2X,"[10, 15)",30,11.791074347485822,5.271081876300068,2.9763639126755015,3.1313203887137555,2.712908485627386,3.4002968229698265
2025-12-27,25S2Y,"[0, 5)",52,1.8349457506377935,0.8202941483651203,0.721058026208021,0.7637669468335601,0.600998568600876,0.8714213267779686
2025-12-27,25S2Y,"[5, 10)",63,6.894280984608945,3.0820193713595865,1.5810286466129884,1.6391150495122686,1.2782794457325977,1.959040234798462
2025-12-27,25S2Y,"[10, 15)",30,11.791074347485822,5.271081876300068,2.0956270248559004,2.2678018466599785,1.873044910564721,2.4869497691535156
2025-12-27,25S3X,"[0, 5)",52,1.8349457506377935,0.8202941483651203,0.7846284346480169,0.8089015412217199,0.65727597537149,0.9074391807123027
2025-12-27,25S3X,"[5, 10)",63,6.894280984608945,3.0820193713595865,2.0456424536750584,2.277278537467389,1.7102642065211824,2.845677243293334
2025-12-27,25S3X,"[10, 15)",30,11.791074347485822,5.271081876300068,2.945864962082617,3.099822562022845,2.7138191224999546,3.534985535803796
